"#phase","CV^2","1/E[YFP]]"
0.74,0.0020001008525263046,0.0036414731579076515
0.75,0.0019750534024493213,0.0034878642376557603
0.76,0.0019499552228076078,0.0033860862430575476
0.77,0.0019249070390597069,0.00333138362610748
0.78,0.0019000095766641622,0.003319000838800025
0.79,0.0018753635610795172,0.0033441823331296495
0.8,0.001851069717764315,0.0034021725610908203
0.8099999999999999,0.0018282604505264065,0.0034783962404387513
0.82,0.0018059422805144633,0.0035785126928156038
0.83,0.001784153407226465,0.0036983615056242827
0.84,0.0017629320301603912,0.0038337822662676954
0.85,0.001742316348814221,0.003980614562148748
0.86,0.001722344562685934,0.004134697980670348
0.87,0.0017030548712735094,0.004291872109235401
0.88,0.0016844854740749261,0.004447976535246814
0.89,0.0016666745705881643,0.004598850846107494
0.9,0.0016496603603112026,0.0047403346292203465
0.91,0.0016335882705734823,0.0047692130117530955
0.92,0.0016183827743850687,0.0047863833419641445
0.93,0.0016040755725874893,0.0047936885078767155
0.94,0.0015906983660222709,0.004792971397514029
0.95,0.0015782828555309404,0.004786074898899305
0.96,0.0015668607419550254,0.004774841900055766
0.97,0.0015564637261360527,0.004761115289006631
0.98,0.0015471235089155495,0.004746737953775122
0.99,0.001538871791135043,0.0047335527823844595
1.,0.00153174027363606,0.004723402662857864
1.01,0.0015240881375704568,0.004755186303361586
1.02,0.0015177209682991088,0.004791444964494421
1.03,0.00151277183149322,0.004831775726998194
1.04,0.0015093737928239942,0.0048757756716147314
1.05,0.001507659917962636,0.004923041879085857
1.06,0.0015077632725803494,0.004973171430153396
1.07,0.0015098169223483385,0.005025761405559173
1.08,0.0015139539329378075,0.005080408886045014
1.09,0.0015203073700199602,0.005136710952352744
1.1,0.0015290102992660014,0.005194264685224188
1.11,0.0015425494154534384,0.0052402969026024955
1.12,0.001558561510958911,0.005287524660925057
1.1300000000000001,0.0015770370072653627,0.005336294753830586
1.1400000000000001,0.0015979663258557366,0.0053869539749577975
